Sector,Growth Rate,Year,Value
"Agriculture, Forestry & Fishing",LOW,2015,29564.0
"Agriculture, Forestry & Fishing",STEADY STATE,2015,29564.0
"Agriculture, Forestry & Fishing",HIGH,2015,29564.0
Mining & Quarrying,LOW,2015,45935.0
Mining & Quarrying,STEADY STATE,2015,45935.0
Mining & Quarrying,HIGH,2015,45935.0
Manufacturing,LOW,2015,130119.0
Manufacturing,STEADY STATE,2015,130119.0
Manufacturing,HIGH,2015,130119.0
"Electricity, Gas and Water",LOW,2015,22625.0
"Electricity, Gas and Water",STEADY STATE,2015,22625.0
"Electricity, Gas and Water",HIGH,2015,22625.0
Construction,LOW,2015,51869.0
Construction,STEADY STATE,2015,51869.0
Construction,HIGH,2015,51869.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2015,117490.0
"Wholesale & Retail Trade, Restaurants & hotels",STEADY STATE,2015,117490.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2015,117490.0
"Transport, Storage & Communication",LOW,2015,68080.0
"Transport, Storage & Communication",STEADY STATE,2015,68080.0
"Transport, Storage & Communication",HIGH,2015,68080.0
Real Estate,LOW,2015,92060.0
Real Estate,STEADY STATE,2015,92060.0
Real Estate,HIGH,2015,92060.0
"Finance, Insurance and Business services",LOW,2015,80464.0
"Finance, Insurance and Business services",STEADY STATE,2015,80464.0
"Finance, Insurance and Business services",HIGH,2015,80464.0
"Community, Social & Personal Services",LOW,2015,40843.0
"Community, Social & Personal Services",STEADY STATE,2015,40843.0
"Community, Social & Personal Services",HIGH,2015,40843.0
Government Activities,LOW,2015,249669.0
Government Activities,STEADY STATE,2015,249669.0
Government Activities,HIGH,2015,249669.0
Riyadh GDP,LOW,2015,934949.0
Riyadh GDP,STEADY STATE,2015,934949.0
Riyadh GDP,HIGH,2015,934949.0
Saudi Arabia GDP,LOW,2015,2992113.0
Saudi Arabia GDP,STEADY STATE,2015,2992113.0
Saudi Arabia GDP,HIGH,2015,2992113.0
"Agriculture, Forestry & Fishing",LOW,2016,31126.0
"Agriculture, Forestry & Fishing",STEADY STATE,2016,31126.0
"Agriculture, Forestry & Fishing",HIGH,2016,31126.0
Mining & Quarrying,LOW,2016,47185.0
Mining & Quarrying,STEADY STATE,2016,47185.0
Mining & Quarrying,HIGH,2016,47185.0
Manufacturing,LOW,2016,134767.0
Manufacturing,STEADY STATE,2016,134767.0
Manufacturing,HIGH,2016,134767.0
"Electricity, Gas and Water",LOW,2016,23825.0
"Electricity, Gas and Water",STEADY STATE,2016,23825.0
"Electricity, Gas and Water",HIGH,2016,23825.0
Construction,LOW,2016,49996.0
Construction,STEADY STATE,2016,49996.0
Construction,HIGH,2016,49996.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2016,117006.0
