Sector,Growth Rate,YearQuarter,Value
"Agriculture, Forestry & Fishing",LOW,2015-Q1,6496.0
"Agriculture, Forestry & Fishing",MEDIUM,2015-Q1,6496.0
"Agriculture, Forestry & Fishing",HIGH,2015-Q1,6496.0
Mining & Quarrying,LOW,2015-Q1,10913.0
Mining & Quarrying,MEDIUM,2015-Q1,10913.0
Mining & Quarrying,HIGH,2015-Q1,10913.0
Manufacturing,LOW,2015-Q1,31703.0
Manufacturing,MEDIUM,2015-Q1,31703.0
Manufacturing,HIGH,2015-Q1,31703.0
"Electricity, Gas and Water",LOW,2015-Q1,5495.0
"Electricity, Gas and Water",MEDIUM,2015-Q1,5495.0
"Electricity, Gas and Water",HIGH,2015-Q1,5495.0
Construction,LOW,2015-Q1,12864.0
Construction,MEDIUM,2015-Q1,12864.0
Construction,HIGH,2015-Q1,12864.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2015-Q1,29205.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2015-Q1,29205.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2015-Q1,29205.0
"Transport, Storage & Communication",LOW,2015-Q1,16815.0
"Transport, Storage & Communication",MEDIUM,2015-Q1,16815.0
"Transport, Storage & Communication",HIGH,2015-Q1,16815.0
Real Estate,LOW,2015-Q1,22554.0
Real Estate,MEDIUM,2015-Q1,22554.0
Real Estate,HIGH,2015-Q1,22554.0
"Finance, Insurance and Business services",LOW,2015-Q1,19369.0
"Finance, Insurance and Business services",MEDIUM,2015-Q1,19369.0
"Finance, Insurance and Business services",HIGH,2015-Q1,19369.0
"Community, Social & Personal Services",LOW,2015-Q1,9566.0
"Community, Social & Personal Services",MEDIUM,2015-Q1,9566.0
"Community, Social & Personal Services",HIGH,2015-Q1,9566.0
Government Activities,LOW,2015-Q1,61106.0
Government Activities,MEDIUM,2015-Q1,61106.0
Government Activities,HIGH,2015-Q1,61106.0
Riyadh GDP,LOW,2015-Q1,228751.0
Riyadh GDP,MEDIUM,2015-Q1,228751.0
Riyadh GDP,HIGH,2015-Q1,228751.0
Saudi Arabia GDP,LOW,2015-Q1,732086.0
Saudi Arabia GDP,MEDIUM,2015-Q1,732086.0
Saudi Arabia GDP,HIGH,2015-Q1,732086.0
"Agriculture, Forestry & Fishing",LOW,2015-Q2,7443.0
"Agriculture, Forestry & Fishing",MEDIUM,2015-Q2,7443.0
"Agriculture, Forestry & Fishing",HIGH,2015-Q2,7443.0
Mining & Quarrying,LOW,2015-Q2,11485.0
Mining & Quarrying,MEDIUM,2015-Q2,11485.0
Mining & Quarrying,HIGH,2015-Q2,11485.0
Manufacturing,LOW,2015-Q2,32341.0
Manufacturing,MEDIUM,2015-Q2,32341.0
Manufacturing,HIGH,2015-Q2,32341.0
"Electricity, Gas and Water",LOW,2015-Q2,5855.0
"Electricity, Gas and Water",MEDIUM,2015-Q2,5855.0
"Electricity, Gas and Water",HIGH,2015-Q2,5855.0
Construction,LOW,2015-Q2,12943.0
Construction,MEDIUM,2015-Q2,12943.0
Construction,HIGH,2015-Q2,12943.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2015-Q2,29270.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2015-Q2,29270.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2015-Q2,29270.0
"Transport, Storage & Communication",LOW,2015-Q2,16961.0
"Transport, Storage & Communication",MEDIUM,2015-Q2,16961.0
"Transport, Storage & Communication",HIGH,2015-Q2,16961.0
Real Estate,LOW,2015-Q2,22698.0
Real Estate,MEDIUM,2015-Q2,22698.0
Real Estate,HIGH,2015-Q2,22698.0
"Finance, Insurance and Business services",LOW,2015-Q2,20291.0
"Finance, Insurance and Business services",MEDIUM,2015-Q2,20291.0
"Finance, Insurance and Business services",HIGH,2015-Q2,20291.0
"Community, Social & Personal Services",LOW,2015-Q2,10122.0
"Community, Social & Personal Services",MEDIUM,2015-Q2,10122.0
"Community, Social & Personal Services",HIGH,2015-Q2,10122.0
Government Activities,LOW,2015-Q2,61338.0
Government Activities,MEDIUM,2015-Q2,61338.0
Government Activities,HIGH,2015-Q2,61338.0
Riyadh GDP,LOW,2015-Q2,233379.0
Riyadh GDP,MEDIUM,2015-Q2,233379.0
Riyadh GDP,HIGH,2015-Q2,233379.0
Saudi Arabia GDP,LOW,2015-Q2,751781.0
Saudi Arabia GDP,MEDIUM,2015-Q2,751781.0
Saudi Arabia GDP,HIGH,2015-Q2,751781.0
"Agriculture, Forestry & Fishing",LOW,2015-Q3,7719.0
"Agriculture, Forestry & Fishing",MEDIUM,2015-Q3,7719.0
"Agriculture, Forestry & Fishing",HIGH,2015-Q3,7719.0
Mining & Quarrying,LOW,2015-Q3,11723.0
Mining & Quarrying,MEDIUM,2015-Q3,11723.0
Mining & Quarrying,HIGH,2015-Q3,11723.0
Manufacturing,LOW,2015-Q3,32805.0
Manufacturing,MEDIUM,2015-Q3,32805.0
Manufacturing,HIGH,2015-Q3,32805.0
"Electricity, Gas and Water",LOW,2015-Q3,5756.0
"Electricity, Gas and Water",MEDIUM,2015-Q3,5756.0
"Electricity, Gas and Water",HIGH,2015-Q3,5756.0
Construction,LOW,2015-Q3,13028.0
Construction,MEDIUM,2015-Q3,13028.0
Construction,HIGH,2015-Q3,13028.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2015-Q3,29364.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2015-Q3,29364.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2015-Q3,29364.0
"Transport, Storage & Communication",LOW,2015-Q3,16993.0
"Transport, Storage & Communication",MEDIUM,2015-Q3,16993.0
"Transport, Storage & Communication",HIGH,2015-Q3,16993.0
Real Estate,LOW,2015-Q3,23348.0
Real Estate,MEDIUM,2015-Q3,23348.0
Real Estate,HIGH,2015-Q3,23348.0
"Finance, Insurance and Business services",LOW,2015-Q3,20308.0
"Finance, Insurance and Business services",MEDIUM,2015-Q3,20308.0
"Finance, Insurance and Business services",HIGH,2015-Q3,20308.0
"Community, Social & Personal Services",LOW,2015-Q3,10423.0
"Community, Social & Personal Services",MEDIUM,2015-Q3,10423.0
"Community, Social & Personal Services",HIGH,2015-Q3,10423.0
Government Activities,LOW,2015-Q3,62861.0
Government Activities,MEDIUM,2015-Q3,62861.0
Government Activities,HIGH,2015-Q3,62861.0
Riyadh GDP,LOW,2015-Q3,237164.0
Riyadh GDP,MEDIUM,2015-Q3,237164.0
Riyadh GDP,HIGH,2015-Q3,237164.0
Saudi Arabia GDP,LOW,2015-Q3,754199.0
Saudi Arabia GDP,MEDIUM,2015-Q3,754199.0
Saudi Arabia GDP,HIGH,2015-Q3,754199.0
