id,GOSI_classification,OutPut Classification,Quarter,Region,Value
15,Public administration and defence; compulsory social security,Government Services,2019-Q1,KSA,191944
19,Other service activities,Government Services,2019-Q1,KSA,218036
20,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Government Services,2019-Q1,KSA,0
21,Activities of extraterritorial organizations and bodies,Government Services,2019-Q1,KSA,952
22,Not specified,Government Services,2019-Q1,KSA,18429
37,Public administration and defence; compulsory social security,Government Services,2019-Q2,KSA,193702
41,Other service activities,Government Services,2019-Q2,KSA,216083
42,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Government Services,2019-Q2,KSA,5
43,Activities of extraterritorial organizations and bodies,Government Services,2019-Q2,KSA,1012
44,Not specified,Government Services,2019-Q2,KSA,32926
59,Public administration and defence; compulsory social security,Government Services,2019-Q3,KSA,198188
63,Other service activities,Government Services,2019-Q3,KSA,215745
64,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Government Services,2019-Q3,KSA,4
65,Activities of extraterritorial organizations and bodies,Government Services,2019-Q3,KSA,1070
66,Not specified,Government Services,2019-Q3,KSA,38877
81,Public administration and defence; compulsory social security,Government Services,2019-Q4,KSA,212349
85,Other service activities,Government Services,2019-Q4,KSA,217420
86,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Government Services,2019-Q4,KSA,4
87,Activities of extraterritorial organizations and bodies,Government Services,2019-Q4,KSA,1259
88,Not specified,Government Services,2019-Q4,KSA,51368
103,Public administration and defence; compulsory social security,Government Services,2020-Q1,KSA,219072
107,Other service activities,Government Services,2020-Q1,KSA,222138
108,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Government Services,2020-Q1,KSA,8
109,Activities of extraterritorial organizations and bodies,Government Services,2020-Q1,KSA,1347
110,Not specified,Government Services,2020-Q1,KSA,147739
125,Public administration and defence; compulsory social security,Government Services,2020-Q2,KSA,224337
129,Other service activities,Government Services,2020-Q2,KSA,221822
130,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Government Services,2020-Q2,KSA,27
131,Activities of extraterritorial organizations and bodies,Government Services,2020-Q2,KSA,1373
132,Not specified,Government Services,2020-Q2,KSA,155999
147,Public administration and defence; compulsory social security,Government Services,2020-Q3,KSA,227442
151,Other service activities,Government Services,2020-Q3,KSA,220883
152,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Government Services,2020-Q3,KSA,44
153,Activities of extraterritorial organizations and bodies,Government Services,2020-Q3,KSA,1382
154,Not specified,Government Services,2020-Q3,KSA,134149
169,Public administration and defence; compulsory social security,Government Services,2021-Q4,KSA,239559
173,Other service activities,Government Services,2021-Q4,KSA,218343
174,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Government Services,2021-Q4,KSA,77
175,Activities of extraterritorial organizations and bodies,Government Services,2021-Q4,KSA,1422
176,Not specified,Government Services,2021-Q4,KSA,124697
191,Public administration and defence; compulsory social security,Government Services,2021-Q1,KSA,246902
195,Other service activities,Government Services,2021-Q1,KSA,215565
196,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Government Services,2021-Q1,KSA,142
197,Activities of extraterritorial organizations and bodies,Government Services,2021-Q1,KSA,1456
198,Not specified,Government Services,2021-Q1,KSA,133257
213,Public administration and defence; compulsory social security,Government Services,2021-Q2,KSA,264295
217,Other service activities,Government Services,2021-Q2,KSA,210010
218,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Government Services,2021-Q2,KSA,145
219,Activities of extraterritorial organizations and bodies,Government Services,2021-Q2,KSA,1575
220,Not specified,Government Services,2021-Q2,KSA,118878
235,Public administration and defence; compulsory social security,Government Services,2021-Q3,KSA,272991
239,Other service activities,Government Services,2021-Q3,KSA,208242
240,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Government Services,2021-Q3,KSA,148
241,Activities of extraterritorial organizations and bodies,Government Services,2021-Q3,KSA,1627
242,Not specified,Government Services,2021-Q3,KSA,115552
257,Public administration and defence; compulsory social security,Government Services,2021-Q4,KSA,295173
261,Other service activities,Government Services,2021-Q4,KSA,209986
262,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Government Services,2021-Q4,KSA,224
263,Activities of extraterritorial organizations and bodies,Government Services,2021-Q4,KSA,1748
264,Not specified,Government Services,2021-Q4,KSA,143717
279,Public administration and defence; compulsory social security,Government Services,2022-Q1,KSA,297192
283,Other service activities,Government Services,2022-Q1,KSA,244155
284,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Government Services,2022-Q1,KSA,246
